,Año,Trim,Prov,Accesx100hog,BandaAncha,BandaAngos,Total,ADSL,Cablemodem,FibraOpt,Wireless,Otros_Tec,MediaMbps,AR1_0.51Mbs,AR2_0.75Mbs,AR3_3.5Mbs,AR4_8Mbs,AR5_15Mbs,AR6_25Mbs,AR7_+30Mbs,Otros_Mbs
156,2021,1,Mendoza,39.15,218308,615,218923,91844.0,69295.0,38619.0,18332.0,833.0,13,28,40,134386,11216,52533,4061,16615,44
157,2021,1,Misiones,43.17,149387,0,149387,48292.0,82339.0,7064.0,4796.0,6896.0,25,51,524,40949,25503,27101,14050,32953,8256
158,2021,1,Neuquén,66.84,132862,373,133235,30223.0,70457.0,14171.0,17752.0,632.0,34,116,327,56171,8443,5903,5677,50840,5758
159,2021,1,Río Negro,60.88,140667,501,141168,48777.0,42192.0,17828.0,13994.0,18377.0,22,125,466,70011,4187,13045,3642,29589,20103
160,2021,1,Salta,53.93,187572,2,187574,54768.0,89187.0,31498.0,5669.0,6452.0,27,109,20,40785,68149,9164,8139,54889,6319
161,2021,1,San Juan,39.06,78011,256,78267,40072.0,11589.0,6671.0,11482.0,8453.0,7,25,194,60439,858,11494,340,276,4641
162,2021,1,San Luis,81.24,119006,148,119154,8417.0,10678.0,28.0,63826.0,36205.0,22,58,0,11889,2926,4429,62913,22,36917
163,2021,1,Santa Cruz,41.65,45868,197,46065,12347.0,23089.0,5975.0,4264.0,390.0,8,50,0,30655,8334,6987,1337,647,-1945
164,2021,1,Santa Fe,73.92,825990,137,826127,277012.0,421480.0,70976.0,39140.0,17519.0,28,518,891,201632,204458,91846,65476,236924,24382
165,2021,1,Santiago Del Estero,45.67,111640,1,111641,26468.0,75849.0,570.0,5158.0,3596.0,12,123,909,33884,58464,8549,700,4868,4144
166,2021,1,Tierra Del Fuego,77.35,40133,289,40422,12853.0,27247.0,6.0,0.0,316.0,9,17,0,21379,1468,4317,486,919,11836
167,2021,1,Tucumán,54.82,231890,22,231912,147199.0,12185.0,69954.0,1834.0,740.0,38,29,97,42810,53416,25255,4188,103437,2680
168,2020,4,Buenos Aires,68.98,4028195,5066,4033261,635651.0,2441248.0,804991.0,93444.0,57927.0,50,36939,31197,1109865,242243,214171,213588,2176242,9016
169,2020,4,Capital Federal,108.31,1378140,1390,1379530,163060.0,1142528.0,39890.0,4815.0,29237.0,67,135,244,160210,78123,60208,80269,1000073,268
170,2020,4,Catamarca,49.41,52395,1,52396,26870.0,5115.0,17856.0,322.0,2233.0,38,71,0,8843,8740,11436,591,20406,2309
171,2020,4,Chaco,43.03,139088,3,139091,44332.0,61200.0,23687.0,7997.0,1875.0,32,301,112,24782,22479,26802,15701,40949,7965
172,2020,4,Chubut,68.35,129749,825,130574,45703.0,39756.0,3040.0,23363.0,18712.0,7,106,109,88157,21824,12046,2818,1112,4402
173,2020,4,Córdoba,78.08,902646,55,902701,267396.0,439322.0,125620.0,52827.0,17536.0,35,119,2386,214963,135262,82221,70013,384169,13568
